"Year","Location","Bacteria","Date","Individual Sample Value","30 Day Rolling Geometric Mean Value","Individual Sample Value Exceedence","30 Day Geometric Mean Exceedence"
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-04,38,"   NA","> 31",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-09,32,"   NA","> 31",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-18,15,"   NA","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-23,17,"   NA","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-06-29,3.3," 15.9","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-07-07,22," 14.3","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-07-13,15," 12.3","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-07-20,46," 15.3","> 31",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-07-27,1,"  8.7","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-08-05,6.7," 10.0","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-08-11,1.7,"  6.0","",""
2020,"Warren Ames Bridge","Fecal Coliform",2020-08-18,36,"  7.2","> 31",""
