"Location","Year","Bacteria","Date","30 Day Geometric Mean Value","Individual Sample Value","30 Day Geometric Mean Exceedence","10% of Individual Samples in Prior 30 Days Exceedence"
"North Kenai Beach 4",2019,"Enterococci",2019-07-09,"  9.4",3,"",""
"North Kenai Beach 4",2019,"Enterococci",2019-07-17," 30.7",365,"","> 130"
"North Kenai Beach 4",2019,"Enterococci",2019-07-23," 35.2",72,"> 35","> 130"
"North Kenai Beach 4",2019,"Enterococci",2019-08-01," 69.2",291,"> 35","> 130"
"North Kenai Beach 4",2019,"Enterococci",2019-08-06," 67.0",59,"> 35","> 130"
"North Kenai Beach 4",2019,"Enterococci",2019-08-20," 66.7",16,"> 35","> 130"
"North Kenai Beach 4",2019,"Enterococci",2019-09-04," 26.6",20,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-05-26,"",2,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-06-04,"",27,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-06-09,"",8,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-06-18,"",13,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-06-23,"",18,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-06-29," 10.0",2,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-07-07,"  6.8",4,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-07-13,"  6.2",5,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-07-20,"  5.3",6,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-07-27,"  2.6",0.5,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-08-05,"  4.7",38,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-08-11,"  5.4",8,"",""
"North Kenai Beach 4",2020,"Enterococci",2020-08-18,"  7.3",23,"",""
"North Kenai Beach 4",2019,"Fecal Coliform",2019-05-21,"",1,"",""
"North Kenai Beach 4",2019,"Fecal Coliform",2019-05-29,"",35,"",""
"North Kenai Beach 4",2019,"Fecal Coliform",2019-06-04,"",102,"",""
"North Kenai Beach 4",2019,"Fecal Coliform",2019-06-11,"",2,"",""
"North Kenai Beach 4",2019,"Fecal Coliform",2019-06-18,"",41,"",""
"North Kenai Beach 4",2019,"Fecal Coliform",2019-06-25," 27.1",50,"> 14","> 31"
"North Kenai Beach 4",2019,"Fecal Coliform",2019-07-02," 29.9",57,"> 14","> 31"
"North Kenai Beach 4",2019,"Fecal Coliform",2019-07-09," 17.5",7,"> 14","> 31"
"North Kenai Beach 4",2019,"Fecal Coliform",2019-07-17," 49.0",346,"> 14","> 31"
"North Kenai Beach 4",2019,"Fecal Coliform",2019-07-23," 56.4",83,"> 14","> 31"
"North Kenai Beach 4",2019,"Fecal Coliform",2019-08-01," 75.1",158,"> 14","> 31"
"North Kenai Beach 4",2019,"Fecal Coliform",2019-08-06," 36.4",2,"> 14","> 31"
"North Kenai Beach 4",2019,"Fecal Coliform",2019-08-20," 31.8",39,"> 14","> 31"
"North Kenai Beach 4",2019,"Fecal Coliform",2019-09-04,"  5.4",2,"","> 31"
"North Kenai Beach 4",2020,"Fecal Coliform",2020-05-26,"",2,"",""
"North Kenai Beach 4",2020,"Fecal Coliform",2020-06-04,"",36,"",""
"North Kenai Beach 4",2020,"Fecal Coliform",2020-06-09,"",7.7,"",""
"North Kenai Beach 4",2020,"Fecal Coliform",2020-06-18,"",54,"",""
"North Kenai Beach 4",2020,"Fecal Coliform",2020-06-23,"",14,"",""
"North Kenai Beach 4",2020,"Fecal Coliform",2020-06-29," 14.3",2.9,"> 14","> 31"
"North Kenai Beach 4",2020,"Fecal Coliform",2020-07-07,"  8.9",3.3,"","> 31"
"North Kenai Beach 4",2020,"Fecal Coliform",2020-07-13," 11.6",29,"","> 31"
"North Kenai Beach 4",2020,"Fecal Coliform",2020-07-20," 10.4",31,"","> 31"
"North Kenai Beach 4",2020,"Fecal Coliform",2020-07-27,"  7.0",2,"","> 31"
"North Kenai Beach 4",2020,"Fecal Coliform",2020-08-05," 11.3",31,"","> 31"
"North Kenai Beach 4",2020,"Fecal Coliform",2020-08-11," 18.9",43,"> 14","> 31"
"North Kenai Beach 4",2020,"Fecal Coliform",2020-08-18," 20.3",42,"> 14","> 31"
"South Kenai Beach 3",2019,"Enterococci",2019-05-21,"",5,"",""
"South Kenai Beach 3",2019,"Enterococci",2019-05-29,"",6,"",""
"South Kenai Beach 3",2019,"Enterococci",2019-06-04,"",2,"",""
"South Kenai Beach 3",2019,"Enterococci",2019-06-11,"",7,"",""
"South Kenai Beach 3",2019,"Enterococci",2019-06-18,"",50,"",""
"South Kenai Beach 3",2019,"Enterococci",2019-06-25," 12.4",71,"",""
"South Kenai Beach 3",2019,"Enterococci",2019-07-02," 29.0",411,"","> 130"
"South Kenai Beach 3",2019,"Enterococci",2019-07-09," 47.2",23,"> 35","> 130"
"South Kenai Beach 3",2019,"Enterococci",2019-07-17,"119.5",727,"> 35","> 130"
"South Kenai Beach 3",2019,"Enterococci",2019-07-23,"102.3",23,"> 35","> 130"
"South Kenai Beach 3",2019,"Enterococci",2019-08-01," 98.9",249,"> 35","> 130"
"South Kenai Beach 3",2019,"Enterococci",2019-08-06,"108.2",155,"> 35","> 130"
"South Kenai Beach 3",2019,"Enterococci",2019-08-20,"126.1",285,"> 35","> 130"
"South Kenai Beach 3",2019,"Enterococci",2019-09-04,"107.3",28,"> 35","> 130"
"South Kenai Beach 3",2020,"Enterococci",2020-05-26,"",2,"",""
"South Kenai Beach 3",2020,"Enterococci",2020-06-04,"",50,"",""
"South Kenai Beach 3",2020,"Enterococci",2020-06-09,"",6,"",""
"South Kenai Beach 3",2020,"Enterococci",2020-06-18,"",38,"",""
"South Kenai Beach 3",2020,"Enterococci",2020-06-23,"",25,"",""
"South Kenai Beach 3",2020,"Enterococci",2020-06-29," 25.5",38,"",""
"South Kenai Beach 3",2020,"Enterococci",2020-07-07," 14.5",3,"",""
"South Kenai Beach 3",2020,"Enterococci",2020-07-13," 28.6",178,"","> 130"
"South Kenai Beach 3",2020,"Enterococci",2020-07-20," 33.8",87,"","> 130"
"South Kenai Beach 3",2020,"Enterococci",2020-07-27," 23.4",4,"","> 130"
"South Kenai Beach 3",2020,"Enterococci",2020-08-05," 31.9",178,"","> 130"
"South Kenai Beach 3",2020,"Enterococci",2020-08-11," 39.7",9,"> 35","> 130"
"South Kenai Beach 3",2020,"Enterococci",2020-08-18," 35.1",96,"> 35","> 130"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-05-21,"",8,"",""
"South Kenai Beach 3",2019,"Fecal Coliform",2019-05-29,"",25,"",""
"South Kenai Beach 3",2019,"Fecal Coliform",2019-06-04,"",9,"",""
"South Kenai Beach 3",2019,"Fecal Coliform",2019-06-11,"",5,"",""
"South Kenai Beach 3",2019,"Fecal Coliform",2019-06-18,"",84,"",""
"South Kenai Beach 3",2019,"Fecal Coliform",2019-06-25," 19.0",26,"> 14","> 31"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-07-02," 24.7",93,"> 14","> 31"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-07-09," 39.1",90,"> 14","> 31"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-07-17," 93.9",400,"> 14","> 400"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-07-23," 93.0",80,"> 14","> 400"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-08-01,"182.1",382,"> 14","> 400"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-08-06," 94.9",7,"> 14","> 400"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-08-20," 63.5",76,"> 14","> 31"
"South Kenai Beach 3",2019,"Fecal Coliform",2019-09-04," 12.9",4,"","> 31"
"South Kenai Beach 3",2020,"Fecal Coliform",2020-05-26,"",4,"",""
"South Kenai Beach 3",2020,"Fecal Coliform",2020-06-04,"",69,"",""
"South Kenai Beach 3",2020,"Fecal Coliform",2020-06-09,"",3.845,"",""
"South Kenai Beach 3",2020,"Fecal Coliform",2020-06-09,"",7.7,"",""
"South Kenai Beach 3",2020,"Fecal Coliform",2020-06-18,"",46,"",""
"South Kenai Beach 3",2020,"Fecal Coliform",2020-06-23,"",49,"",""
"South Kenai Beach 3",2020,"Fecal Coliform",2020-06-29," 17.2",5.7,"> 14","> 31"
"South Kenai Beach 3",2020,"Fecal Coliform",2020-07-07," 13.1",13,"","> 31"
"South Kenai Beach 3",2020,"Fecal Coliform",2020-07-13," 39.8",600,"> 14","> 400"
"South Kenai Beach 3",2020,"Fecal Coliform",2020-07-20," 53.2",196,"> 14","> 400"
"South Kenai Beach 3",2020,"Fecal Coliform",2020-07-27," 37.6",8.6,"> 14","> 400"
"South Kenai Beach 3",2020,"Fecal Coliform",2020-08-05," 75.3",184,"> 14","> 400"
"South Kenai Beach 3",2020,"Fecal Coliform",2020-08-11," 79.4",17,"> 14","> 400"
